label	bucket	rows	n_docs	fields	example_context
LMG 32378T	strain designation	1	1	strains	...udochrobactrum, with Pseudochrobactrum algeriense [[LMG 32378T]] as its closest relative. ANI (79.4-79.9%), dDDH (...
LMG 32367T	strain designation	1	1	strains	"...aburkholderia sejongensis sp. nov. (=MMS20-SJTR3T=[[LMG 32367T]]=KCTC 82784T) are proposed.
"
KCTC 92730T	strain designation	1	1	strains	"...p. nov. is proposed. The type strain is 2C3345T (=[[KCTC 92730T]] =MCCC 1K08335T).
"
KUT	strain designation	1	1	strains	...6.6 % to the type strain Acidithiobacillus caldus [[KUT]]. The genomic DNA G+C content of strain S30A2T was...; ...d 
KSW4-17T	strain designation	1	1	strains	...e actinobacterial strains, KSW2-21T, KSW2-29T and [[KSW4-17T]], were isolated from dried seaweeds collected arou...; 
KSW2-29T	strain designation	1	1	strains	Three actinobacterial strains, KSW2-21T, [[KSW2-29T]] and KSW4-17T, were isolated from dried seaweeds c...; ...cterium h
KSW2-21T	strain designation	1	1	strains	Three actinobacterial strains, [[KSW2-21T]], KSW2-29T and KSW4-17T, were isolated from dried ...; ...in of Microbacteriu
KST3-10T	strain designation	1	1	strains	...-4T was closely related to Blastococcus jejuensis [[KST3-10T]](97.9%), Blastococcus capsensis BMG 804T(97.8%), B...; 
KSM-R2A30T	strain designation	1	1	strains	...obacterium cheniae NJ-26T, Flavobacterium channae [[KSM-R2A30T]] and Flavobacterium amniphilum KYPY10T with simila...
KR1UV-12T	strain designation	1	1	strains	... non-motile bacterial strains, BT552T, BT553T and [[KR1UV-12T]], were isolated from soil samples in Gwangju-si an...;
KQZ13P-5T	strain designation	1	1	strains	A novel strain, [[KQZ13P-5T]], was isolated from the bark of Sonneratia apetala...; ... Zhuang Autonomous Region, China.
KOPRI 13649T	strain designation	1	1	strains	...phylogenic lineage with Psychroserpens mesophilus [[KOPRI 13649T]], while strain RSW2T formed a phylogenic lineage w.
KN1116T	strain designation	1	1	strains	...It was also evident that Marinisubtilis pacificus [[KN1116T]] should be reclassified as a new species of Microc...; .
KMU-156T	strain designation	1	1	strains	... is closely associated with Tateyamaria armeniaca [[KMU-156T]] (97.2%), Sulfitobacter alexandrii AM1-D1T (97.2%)...
KMM300T	strain designation	1	1	strains	...ity (98.4%) to strain Pseudoalteromonas ruthenica [[KMM300T]], followed by Pseudoalteromonas caenipelagi JBTF-M...
KMM 9699T	strain designation	1	1	strains	...closest relationship with Roseibium polysiphoniae [[KMM 9699T]] with 98.2 % 16S rRNA gene sequence similarity. Th...
KMM 9535T	strain designation	1	1	strains	...ltiae 10Alg 130T (95.5%) and Flavobacterium maris [[KMM 9535T]] (95.3%), aligning them within the genus Flavobact...
KMM 6491T	strain designation	1	1	strains	... CECT 7946T (97.93 %), Winogradskyella litoriviva [[KMM 6491T]] (97.79 %) and Winogradskyella endarachnes HL2-2T ...
KMM 3900T	strain designation	1	1	strains	...lla marina S1101T (97.5 %), Marinicella litoralis [[KMM 3900T]] (96.6 %), Marinicella rhabdoformis 3539T (95.5 %)...
KMM 3633T	strain designation	1	1	strains	... phylogenic lineage with Marinomonas primoryensis [[KMM 3633T]]. Strain MSW6T shared 97.9 % 16S rRNA gene sequenc...;
KMM 300T	strain designation	1	1	strains	...ve to this strain was Pseudoalteromonas ruthenica [[KMM 300T]], with a similarity of 98.39%. The digital DNA-DNA...
KMM 1406T	strain designation	1	1	strains	...QF-2T (98.4 %), followed by Rheinheimera pacifica [[KMM 1406T]] (98.1 %), Rheinheimera nanhaiensis E407-8T (97.4 ...
KMA01T	strain designation	1	1	strains	...strictly aerobic rods, designated as RMAR6-6T and [[KMA01T]], exhibiting catalase- and oxidase-positive activi...; ..
KM77-8T	strain designation	1	1	strains	...produces a new antibiotic haneummycin, designated [[KM77-8T]], was isolated from marine sediment collected from...; .
KLBMP 9567T	strain designation	1	1	strains	Strain [[KLBMP 9567T]], an isolate from weathered soil, was identified a...; ...luations relying on 16S rRNA gene sequen
KU5D5T	strain designation	1	1	strains	...oris JBTF-M27T (97.0%) and Thalassovita litoraria [[KU5D5T]] (96.9%) from the family Roseobacteraceae. The maj...
KV-651T	strain designation	1	1	strains	.../98.1 %), A. humicola KV-653T (97.3 %), A. oryzae [[KV-651T]] (97.3 %), and A. globiformis NBRC 12137T (97.2 %)...
LB-31T	strain designation	1	1	strains	A bacterial strain designated as [[LB-31T]] was isolated from activated sludge. Strain LB-31T...; ...LB-31T was isolated
KV-653T	strain designation	1	1	strains	...uwensis NBRC 107840T (98.2 %/98.1 %), A. humicola [[KV-653T]] (97.3 %), A. oryzae KV-651T (97.3 %), and A. glob...
LAM7112T	strain designation	1	1	strains	...with high similarity to 'Actinoplanes solisilvae' [[LAM7112T]] (97.9 %), Actinoplanes ferrugineus IFO 15555T (97...; 
L3B39T	strain designation	1	1	strains	...esella and is closely related to Vogesella oryzae [[L3B39T]] (98.6% sequence similarity) and Vogesella facilis...; ..
L10T	strain designation	1	1	strains	... is closely related to Aquincola tertiaricarbonis [[L10T]] (98.8 % sequence similarity) and Leptothrix mobil...
L1 8-17T	strain designation	1	1	strains	...alis CL-GR66T (96.4 %) and Aquicoccus porphyridii [[L1 8-17T]] (96.1 %). The predominant fatty acids (>10 %) wer...
Kwoniella olivae	taxon (not in NCBITaxon)	1	1	study_taxa	...ults and on phenotypic analyses, a novel species, [[Kwoniella olivae]] f.a. sp. nov. PYCC 9971T (=CBS 18666T), is pro
Kr9-9T	strain designation	1	1	strains	... related type strains being Winogradskyella algae [[Kr9-9T]] (98.46 % identity), Winogradskyella damuponensis ...
Kosakonia beeri	taxon (not in NCBITaxon)	1	1	study_taxa	...nated type strain (= CCOS 2093T = CFBP 9466T) and [[Kosakonia beeri]] sp. nov., with strain AX9bT as the designated t
Kondoa tianchiensis	taxon (not in NCBITaxon)	1	1	study_taxa	...n, d-gluconate, and l-lysine. The species name of [[Kondoa tianchiensis]] f.a., sp. nov. is proposed with holotype CI
Kodamaea schenbergiae	taxon (not in NCBITaxon)	1	1	study_taxa	...d on the sequences of the D1/D2 domains. The name [[Kodamaea schenbergiae]] f.a., sp. nov. (Holotype CBS 18628T; Myco
Knoellia altitudinis	taxon (not in NCBITaxon)	1	1	study_taxa	...oellia, representing four novel species. Thereby, [[Knoellia altitudinis]] sp. nov. (type strain CPCC 206391T=XZ253T=
KhalAKB1T	strain designation	1	1	strains	...rain is most closely related to Fusibacter fontis [[KhalAKB1T]] (89.50% identity). SD5T was phylogenomically dist...
Kangsaoukella pontilimi KCTC 72224T	strain designation	1	1	strains	...e Rhodophyticola porphyridii KACC 18805T (95.9%), [[Kangsaoukella pontilimi KCTC 72224T]] (95.8%) and Actibacterium p
Kam1T	strain designation	1	1	strains	...phic Verrucomicrobia bacterium, designated strain [[Kam1T]] was isolated from an acidic geothermal mud spring...; ...
KZCA101T	strain designation	1	1	strains	Five halophilic archaeal strains (AGai3-5T, [[KZCA101T]], CGA3T, WLHS1T and WLHSJ1T) were isolated from sa...; ...at str
KYW589T	strain designation	1	1	strains	...-3T (98.35 %), followed by Algibacter aquimarinus [[KYW589T]] (95.17 %) and Gelatiniphilus marinus GYP-24T (94....
KYPY10T	strain designation	1	1	strains	... channae KSM-R2A30T and Flavobacterium amniphilum [[KYPY10T]] with similarities of 97.66 %, 98.66 and 98.14 %, ...
KXB45	strain designation	1	1	strains	In 2024, bacterial strains KXB24, KXB25 and [[KXB45]] were isolated from sweet corn (Zea mays L.) plant...
KXB25	strain designation	1	1	strains	In 2024, bacterial strains KXB24, [[KXB25]] and KXB45 were isolated from sweet corn (Zea mays...
KXB24	strain designation	1	1	strains	In 2024, bacterial strains [[KXB24]], KXB25 and KXB45 were isolated from sweet corn (Z...; ... from closely related Pant
KX21116T	strain designation	1	1	strains	...positive, rod-shaped bacterium, designated strain [[KX21116T]], was isolated from the mussel Gigantidas platifro...; 
KV-962T	strain designation	1	1	strains	... parvum 0166_1T (94.9 %) and Conexibacter arvalis [[KV-962T]] (94.5 %). Whole-genome analysis showed that the c...
KLBMP 9356T	strain designation	1	1	strains	...positive, aerobic actinomycete, designated strain [[KLBMP 9356T]], was isolated from weathered potash tailings soil..
KLBMP 9127T	strain designation	1	1	strains	Strain [[KLBMP 9127T]], isolated from dolomite weathering crusts, was su...; ...ion using a polyphasic taxonomic approac
KLBMP 9083T	strain designation	1	1	strains	Strain [[KLBMP 9083T]], a novel actinobacterium, was isolated from weath...; ...vince, PR China. The taxonomic position 
KLBMP 8922T	strain designation	1	1	strains	...positive, aerobic actinomycete strain, designated [[KLBMP 8922T]], was isolated from a soil sample collected from w..
KEM-5T	strain designation	1	1	strains	...st sequence identity with Qipengyuania marisflavi [[KEM-5T]] (97.6 %), while strain G39T displayed the highest...
KCTC49833T	strain designation	1	1	strains	"...eni was proposed. The type strain is HBU208002T (=[[KCTC49833T]] = GDMCC4.236T).
"
KCTC43192T	strain designation	1	1	strains	".... The type strain iis ZS9-10T (=CCTCC AB 2019392T=[[KCTC43192T]]).
"
KCTC29240T	strain designation	1	1	strains	...us gannanensis DSM 104003T, Rhodococcus aerolatus [[KCTC29240T]] and Rhodococcus agglutinans KCTC 39118T (96.1, 96...
KCTC23555T	strain designation	1	1	strains	...related to the type strains Jannaschia aquimarina [[KCTC23555T]] (96.03%) and Jannaschia marina SHC-163T (95.31%)....
KCTC 92980T	strain designation	1	1	strains	"...inicola is proposed. The type strain is SM2212T (=[[KCTC 92980T]]=MCCC 1K07684T).
"
KCTC 92975T	strain designation	1	1	strains	"...CCC M28982T=KCTC 92604T) and DH64T (=MCCC M28986T=[[KCTC 92975T]]).
"
KCTC 92910T	strain designation	1	1	strains	"...46T) and Pontibacter coccineus sp. nov. (BT731T = [[KCTC 92910T]] = NBRC 116069T).
"
KCTC 92900T	strain designation	1	1	strains	"...osed. The type strain is KX21116T (=MCCC 1K08505T=[[KCTC 92900T]]=JCM 35939T).
"
KCTC 92895T	strain designation	1	1	strains	"...tinophagaceae. The type strain is SYSU DXS3180T (=[[KCTC 92895T]]=GDMCC 1.3825 T).
"
KCTC 92893T	strain designation	1	1	strains	.... The type strain is SYSU M79828T (=GDMCC 1.3803T=[[KCTC 92893T]]). In addition, according to the results of phylog..
KCTC 92884T	strain designation	1	1	strains	...ta showed that strain YIM 152171T (=MCCC 1K08488T=[[KCTC 92884T]]) represents a type of novel species and genus for..
KCTC 92866T	strain designation	1	1	strains	".... nov. is proposed and the type strain is M366T (=[[KCTC 92866T]]=MCCC 1K04524T=CGMCC 1.61708T).
"
KCTC 92859T	strain designation	1	1	strains	...e sp. nov. is proposed. The type strain is H12T (=[[KCTC 92859T]]=MCCC 1K08451T). Comparative genomic analyses of s..
KCTC 92851T	strain designation	1	1	strains	"...chtyis sp. nov. is proposed, with strain DSL-7T (=[[KCTC 92851T]]=CCTCC AB 2022396T) as the type strain.
"
KCTC 92850T	strain designation	1	1	strains	"...is proposed, with strain CD1T (=CCTCC AB 2022395T=[[KCTC 92850T]]) as the type strain.
"
KCTC 92834T	strain designation	1	1	strains	"...sed with the type strain CSW1921T (=MCCC 1K08371T=[[KCTC 92834T]]).
"
KCTC 92789T	strain designation	1	1	strains	".... The type strain is YLCF04T (=CCTCC AB 2022359T= [[KCTC 92789T]]).
"
KCTC 92788T	strain designation	1	1	strains	...gen. nov., sp. nov., is proposed. Strain DQS-5T (=[[KCTC 92788T]]=CCTCC AB 2022320T) is the type and only strain of..
KCTC 92787T	strain designation	1	1	strains	"...ter canadensis sp. nov. (type strain, PAMC 29467T=[[KCTC 92787T]]=JCM 35843T).
"
KCTC 92753T	strain designation	1	1	strains	"...sed with the type strain GW4-15T (=CGMCC 1.19368T=[[KCTC 92753T]]).
"
KEMB 20190	strain designation	1	1	strains	"...595T), with reference strain MJ-SS4 (=KCTC 102115=[[KEMB 20190]]).
"
KEMB 21417T	strain designation	1	1	strains	"... sp. nov. is proposed. The type strain is MK-3T (=[[KEMB 21417T]]=KCTC 8294T=JCM 36630T).
"
KEMB 21436T	strain designation	1	1	strains	"...p. nov. is proposed. The type strain is MJ-SS7T (=[[KEMB 21436T]]=KCTC 8329T=JCM 36750T).
"
KIT0304T	strain designation	1	1	strains	...niae sp. nov. (type strain WS58.C1T=NVSL-WS58.C1T=[[KIT0304T]]), Leptospira mgodei sp. nov. (type strain WS4.C2T...
KK5.5T	strain designation	1	1	strains	Strains CF4.4T and [[KK5.5T]], previously isolated from samples of biocrust and...; ...ycolipid and an unidentified phos
KK1-3T	strain designation	1	1	strains	...with high similarity to Phytohabitans kaempferiae [[KK1-3T]] (98.3 %), Phytohabitans rumicis K11-0047T (98.1 %...
KK1-2T	strain designation	1	1	strains	...terrae OF1T (98.48 %), Streptomyces chumphonensis [[KK1-2T]] (98.41 %), Streptomyces albofaciens JCM 4342T (98...; ..
KJ51-3T	strain designation	1	1	strains	...c, and motile rod bacteria, designated as strains [[KJ51-3T]] and 15G1-11T, were isolated from marine algae col...; .
KJ40-1T	strain designation	1	1	strains	...haped bacteria, designated as strains KJ10-1T and [[KJ40-1T]], were isolated from marine brown algae. Both stra...; .
KJ10-1T	strain designation	1	1	strains	...ative, rod-shaped bacteria, designated as strains [[KJ10-1T]] and KJ40-1T, were isolated from marine brown alga...; .
KIT0307T	strain designation	1	1	strains	"...leri sp. nov. (type strain WS60.C2T=NVSL-WS60.C2T=[[KIT0307T]]) are proposed.
"
KIT0306T	strain designation	1	1	strains	...nsis sp. nov. (type strain WS39.C2T=NVSL-WS39.C2T=[[KIT0306T]]) and Leptospira milleri sp. nov. (type strain WS6...
KIT0305T	strain designation	1	1	strains	...mgodei sp. nov. (type strain WS4.C2T=NVSL.WS4.C2T=[[KIT0305T]]), Leptospira iowaensis sp. nov. (type strain WS39...
KIT0303T	strain designation	1	1	strains	...siae sp. nov. (type strain WS92.C1T=NVSL-WS92.C1T=[[KIT0303T]]), Leptospira cinconiae sp. nov. (type strain WS58...
KEMB 22008T	strain designation	1	1	strains	"...us sp. nov. is proposed. The type strain is DS6T ([[KEMB 22008T]]=KCTC 59264T=JCM 37205T).
"
KIS18-15T	strain designation	1	1	strains	...ingomonas gei ZFGT-11T and Sphingomonas naasensis [[KIS18-15T]], respectively. The DNA G+C contents of HF-S3T and...
KIN192T	strain designation	1	1	strains	... NBRC 102408T (97.9 %), Kinneretia asaccharophila [[KIN192T]] (97.8 %), Mitsuaria chitinivorans HWN-4T (97.4 %)...
KI4T	strain designation	1	1	strains	...NA gene sequence similarity to Thermorudis peleae [[KI4T]] (93.6 %), Thermorudis pharmacophila WKT50.2T (93....
KI3T	strain designation	1	1	strains	...DSM 5159T (92.0 %) and Thermomicrobium carboxidum [[KI3T]] (91.7 %). The average amino acid identity and ave...
KHI28T	strain designation	1	1	strains	
KFB 140	strain designation	1	1	strains	... under greenhouse conditions. Strains KFB 138 and [[KFB 140]] underwent whole-genome sequencing and were found ...; .
KFB 138	strain designation	1	1	strains	...sh seedlings under greenhouse conditions. Strains [[KFB 138]] and KFB 140 underwent whole-genome sequencing and...; .
KF707T	strain designation	1	1	strains	...omonas boanensis DB1T, Metapseudomonas furukawaii [[KF707T]] and Metapseudomonas resinovorans LMG 2274T. The a...
KEMB 23536T	strain designation	1	1	strains	"... nov. is proposed. The type strain is PLA-1-18T (=[[KEMB 23536T]]=KCTC 59365T=TBRC 19594T).
"
LB-30T	strain designation	1	1	strains	...orming and orange-pigmented bacterium, designated [[LB-30T]], was isolated from activated sludge. Growth was o...; ..
LB-N7T	strain designation	1	1	strains	Strain [[LB-N7T]], a novel Gram-negative, orange, translucent, glid...; ...16S rRNA sequences (1337 bp) revealed that st
LMG 32366T	strain designation	1	1	strains	...burkholderia translucens sp. nov. (=MMS20-SJTN17T=[[LMG 32366T]]=KCTC 82783T) and Paraburkholderia sejongensis sp....
LMG 30875T	strain designation	1	1	strains	...antarum sp. nov. is proposed for strain NE2HP2T (=[[LMG 30875T]]=CCBAU 101117T) and Microbacterium thalli sp. nov....
LMG 30770T	strain designation	1	1	strains	...=CECT 9665T=LMG 30768T) and STR1S-6T (=CECT 9666T=[[LMG 30770T]]), respectively. Genome mining showed that the iso...
LMG 30768T	strain designation	1	1	strains	.... nov.; the type strains are STR1-7T (=CECT 9665T=[[LMG 30768T]]) and STR1S-6T (=CECT 9666T=LMG 30770T), respectiv...
LMG 30467T	strain designation	1	1	strains	... sequence similarity with Micromonospora fluminis [[LMG 30467T]] (99.3 %). A genome-based taxonomic study revealed...
LMG 30000T	strain designation	1	1	strains	".... nov. with the type strain 0141_2T (=DSM 104299T=[[LMG 30000T]]=CECT 9239T).
"
LMG 29911T	strain designation	1	1	strains	...his strain and Abditibacterium utsteinense strain [[LMG 29911T]] was 90.83%, and the average amino acid identity a...
LMG 29900T	strain designation	1	1	strains	... its two closest neighbours, Cognatishimia activa [[LMG 29900T]] and Cognatishimia maritima KCTC 23347T, were 73.2...
LMG 29881T	strain designation	1	1	strains	... that the isolate and Rhodococcus electrodiphilus [[LMG 29881T]] (GenBank accession: JAULCK000000000) have genome ...
LMG 29252T	strain designation	1	1	strains	...ose strain 71-iT (= IBRC M 11023T = CECT 30160T = [[LMG 29252T]]) as the type strain of a novel species within the...
LMG 28769T	strain designation	1	1	strains	...es (98.82-98.89%) with Bifidobacterium aquikefiri [[LMG 28769T]]. Complete genomes were assembled with a short- an...
LMG 28291T	strain designation	1	1	strains	...ntity of conserved genes with Convivina intestini [[LMG 28291T]] (95.86 %, 69.9 and 76.2 %, respectively), and the...
LMG 27134T	strain designation	1	1	strains	...ralivorans PML1(12)T (98.48%), Caballeronia udeis [[LMG 27134T]] (97.99%) and Caballeronia sordidicola LMG 22029T ...
LMG 26467T	strain designation	1	1	strains	...50-23T was closely related to Tardiphaga robiniae [[LMG 26467T]] and the non-phototrophic 'Rhodopseudomonas boonke...
LMG 26273T	strain designation	1	1	strains	...es were found to the sequences of Pantoea rodasii [[LMG 26273T]] (98.7 %), Leclercia adecarboxylata NBRC 102595T (...
LMG 26013T	strain designation	1	1	strains	...alues between strain 231-9T and L. xiangfangensis [[LMG 26013T]] were 92.4-92.9 and 49.6 %, respectively, less tha...
LMG 24720T	strain designation	1	1	strains	...atinilytica G5-32T (97.7 %), Kaistella antarctica [[LMG 24720T]] (97.4 %) and Kaistella yonginensis HMD1043T (96.9...
LMG 24501T	strain designation	1	1	strains	...NA hybridization values between strains F. roseus [[LMG 24501T]] and F. rhizosphaerae KCTC 42575T were 96.9 and 73...
LMG 24200T	strain designation	1	1	strains	...CKP32T was most closely related to Pantoea deleyi [[LMG 24200T]], while strain RRHST58T showed the closest relatio...
LMG 24016T	strain designation	1	1	strains	...ch is most closely related to Pseudomonas guineae [[LMG 24016T]] (83.3%). Strain G.S.17T also represents a novel s...
LMG 23578T	strain designation	1	1	strains	...hest 16S rRNA gene similarity to Labrys neptuniae [[LMG 23578T]] (99.13%), followed by Labrys portucalensis F11T (...
LMG 23204T	strain designation	1	1	strains	...croporae D1M17T (93.7%) and Aquimarina intermedia [[LMG 23204T]] (93.2%). Strain RHTr2T grew with 1-5% (w/v) NaCl ...
LMG 2274T	strain designation	1	1	strains	...urukawaii KF707T and Metapseudomonas resinovorans [[LMG 2274T]]. The average nucleotide identity and digital DNA-...
LMG 30873T	strain designation	1	1	strains	...crobacterium thalli sp. nov. for strains NM3R9T (=[[LMG 30873T]]=CCBAU 101116T), NE1TT3 (=CCBAU 101114) and NE2TL1...
LMG 31171T	strain designation	1	1	strains	...nsis NCIMB 15186T, Lactiplantibacillus daoliensis [[LMG 31171T]] and Lactiplantibacillus pingfangensis LMG 31176T....
LB1P51T	strain designation	1	1	strains	...egative, aerobic bacterial strains, designated as [[LB1P51T]], LB2P87T, LB2P84, LB3P48, LB3R18 and XS2P67, were...; .
LMG 31176T	strain designation	1	1	strains	... LMG 31171T and Lactiplantibacillus pingfangensis [[LMG 31176T]]. However, the average nucleotide identity and dig...
LMG 32350T	strain designation	1	1	strains	"... Microbacterium memoriense sp. nov. (=CECT 30366T=[[LMG 32350T]]) is proposed.
"
LMG 32342T	strain designation	1	1	strains	"...aris sp. nov. with type strain AB67T (=CECT 9623T=[[LMG 32342T]]).
"
LMG 32341T	strain designation	1	1	strains	...helix sp. nov. with type strain AB1T (=CECT 9275T=[[LMG 32341T]]) and Dyadobacter linearis sp. nov. with type stra...
LMG 32306T	strain designation	1	1	strains	"...ylobacter molothri sp. nov. (type strain RM10537T=[[LMG 32306T]]=CCUG 75331T) is proposed.
"
LMG 32304T	strain designation	1	1	strains	"...cter californiensis sp. nov. (type strain RM6914T=[[LMG 32304T]]=CCUG 75329T) is proposed.
"
LMG 32300T	strain designation	1	1	strains	"...rum subsp. bovis subsp. nov. (type strain RM8705T=[[LMG 32300T]]=CCUG 75470T) is proposed.
"
LMG 32287T	strain designation	1	1	strains	"...s proposed. The type strain is MHSD28T (=BD 2262T=[[LMG 32287T]]=CECT 30671T).
"
LMG 32285T	strain designation	1	1	strains	"...gifolii sp. nov., with the type strain AMBP162T (=[[LMG 32285T]]=CECT 30357T) is proposed.
"
LMG 32277T	strain designation	1	1	strains	...341T and 99.1% and 99.0% to Microbacterium paulum [[LMG 32277T]]. Phylogenetic analyses based on 16S rRNA gene seq...
LMG 32233T	strain designation	1	1	strains	"... raelei sp. nov. (type strain PraFG1T=CIP 111873T=[[LMG 32233T]]).
"
LMG 32198T	strain designation	1	1	strains	"... proposed. The type strain is NA20T (=KACC 22218T=[[LMG 32198T]]).
"
LMG 32190T	strain designation	1	1	strains	"...oposed. The type strain is XY19T (= KACC 22220T = [[LMG 32190T]]).
"
LMG 32188T	strain designation	1	1	strains	"...oposed, with the type strain MA9T (=KACC 22212T = [[LMG 32188T]]).
"
LMG 32141T	strain designation	1	1	strains	... proposed. The type strain is S1Bt42T (=DOAB 746T=[[LMG 32141T]]=CECT 30251T). The genomic DNA G+C content is 60.9...
LMG 32090T	strain designation	1	1	strains	"...T=CCM 9087T) and JJ-60T (=CIP 111894T=DSM 111787T=[[LMG 32090T]]=CCM 9086T) as the type strains, respectively.
"
LMG 32088T	strain designation	1	1	strains	...re proposed, with JJ-7T (=CIP 111892T=DSM 111785T=[[LMG 32088T]]=CCM 9087T) and JJ-60T (=CIP 111894T=DSM 111787T=L...
LMG 31874T	strain designation	1	1	strains	"...sed. The type strain is HF14-78462T (=CECT 30124T=[[LMG 31874T]]).
"
LMG 31627T	strain designation	1	1	strains	"...proposed, with the type strain P5891T (=CCM 8862T=[[LMG 31627T]]).
"
LMG 31463T	strain designation	1	1	strains	... P. seoulensis THG-G12T (97.0 %), and P. foliorum [[LMG 31463T]] (96.9 %). The genome size and genomic DNA G+C con...
LMG 31457T	strain designation	1	1	strains	...ei DSM 29T (99.0%) and Paenibacillus planticolens [[LMG 31457T]] (99.3%). Furthermore, the phylogenetic and phylog...
LMG 31456T	strain designation	1	1	strains	...illus periandrae PM10T and Paenibacillus foliorum [[LMG 31456T]], respectively. The G+C content of the genomic DNA...
LMG 22029T	strain designation	1	1	strains	... LMG 27134T (97.99%) and Caballeronia sordidicola [[LMG 22029T]] (97.86%). The predominant ubiquinone is Q-8. The ...
LMG 21980T	strain designation	1	1	strains	...s to the type strains of Algoriphagus antarcticus [[LMG 21980T]](98.1-98.5 %) and Algoriphagus resistens NH1T (97....
LMG 21005T	strain designation	1	1	strains	...nii DSM 8722T and Alkalicoccobacillus murimartini [[LMG 21005T]] with 98.1, 98.1 and 98.0 % 16S rRNA gene sequence...
LMG 19861T	strain designation	1	1	strains	...% identity with Brachybacterium paraconglomeratum [[LMG 19861T]]. However, further genomic characterization throug...
LFS242WT	strain designation	1	1	strains	...rod-shaped, non-motile strains (LYT7WT, DC10W and [[LFS242WT]]) were isolated from streams in PR China. Comparis...; 
LFLA-215T	strain designation	1	1	strains	...ong them, an atypical Pectobacterium-like strain, [[LFLA-215T]], could not be confidently assigned to any known s...;
LFL-14T	strain designation	1	1	strains	...ositive, strictly anaerobic bacterium, designated [[LFL-14T]], was isolated from the faeces of a healthy Chines...; .
LF1T	strain designation	1	1	strains	Two Gram-negative bacteria, designated as strains [[LF1T]] and HM2-2T, were isolated from an artificial pond...; ...NA s
LDG1-06T	strain designation	1	1	strains	...3805T, A. lichenicola LDG1-01T and A. ovalisporus [[LDG1-06T]]. The average nucleotide identity and digital DNA-...
LDG1-01T	strain designation	1	1	strains	...0975T, A. brasiliensis DSM 43805T, A. lichenicola [[LDG1-01T]] and A. ovalisporus LDG1-06T. The average nucleoti...
LD0937T	strain designation	1	1	strains	...ic acid bacteria, designated as EB0058T, SCR0080, [[LD0937T]] and SCR0063T, were isolated from different corn a...; .
LCR6-01T	strain designation	1	1	strains	...663T was closely related to Streptomyces lichenis [[LCR6-01T]] (98.67 %), Streptomyces nanningensis YIM 33098T (...
LC13T	strain designation	1	1	strains	...d highest sequence similarity to Sinomonas albida [[LC13T]] (99.2 %). The genomic DNA G+C content of the isol...
LBPCV FSQ1T	strain designation	1	1	strains	"...proposed. The type strain is FSQ1T (CM-CNRG TB51T=[[LBPCV FSQ1T]]).
"
LBM23126T	strain designation	1	1	strains	...positive, rod-shaped bacterium, designated strain [[LBM23126T]], was isolated from the pit clay of strong aroma-t...;
LBM19010T	strain designation	1	1	strains	...(98.00 %) and Caproicibacterium lactatifermentans [[LBM19010T]] (95.67 %). In anaerobic yeast extract medium, gro...
LBM18003T	strain designation	1	1	strains	...o the type species Caproicibacterium amylolyticum [[LBM18003T]] (98.00 %) and Caproicibacterium lactatifermentans...;
LBK-2T	strain designation	1	1	strains	A strictly anaerobic bacterial strain, designated [[LBK-2T]], was isolated from the intestinal tract of a racc...; ...d 
LBG001T	strain designation	1	1	strains	A novel predatory bacterium, strain [[LBG001T]], has been isolated from Reynosa, Mexico. The 16S ...; ...ated housekeepi
LB3R18	strain designation	1	1	strains	..., designated as LB1P51T, LB2P87T, LB2P84, LB3P48, [[LB3R18]] and XS2P67, were isolated from glaciers on the Ti...
LB3P48	strain designation	1	1	strains	... strains, designated as LB1P51T, LB2P87T, LB2P84, [[LB3P48]], LB3R18 and XS2P67, were isolated from glaciers o...
LB3P45T	strain designation	1	1	strains	Three novel strains, designated [[LB3P45T]], LS2P90T and ZS1P70T, were isolated from glaciers...; ...e three strains ran
LB3P38T	strain designation	1	1	strains	...s, each with a single polar flagellum, designated [[LB3P38T]], LT1P18T and ZB1P45T, were isolated from glacier ...
LB2P87T	strain designation	1	1	strains	...aerobic bacterial strains, designated as LB1P51T, [[LB2P87T]], LB2P84, LB3P48, LB3R18 and XS2P67, were isolated...; .
LB2P84	strain designation	1	1	strains	...acterial strains, designated as LB1P51T, LB2P87T, [[LB2P84]], LB3P48, LB3R18 and XS2P67, were isolated from gl...
LFT 1.7T	strain designation	1	1	strains	...T was closely related to Arcobacter lekithochrous [[LFT 1.7T]] and Arcobacter caeni RW17-10T(95.8 and 95.5 % gen...
LG-2T	strain designation	1	1	strains	A Gram-stain-negative bacterium, designated [[LG-2T]], was isolated from sludge collected at a pesticid...; ...ry in Jia
LG-4T	strain designation	1	1	strains	A Gram-stain-negative bacterium, designated [[LG-4T]], was isolated from sediment of Qiantang River in ...; ... 0-2.0 % 
LKC15WT	strain designation	1	1	strains	...ins with a polar flagellum (BYS171WT, DXS10WT and [[LKC15WT]]) were isolated from streams in PR China. Comparis...; .
LMG 19851T	strain designation	1	1	strains	...s PMCC 200367T and Pseudomonas frederiksbergensis [[LMG 19851T]]. Average nucleotide identity values and digital D...
LMG 19430	strain designation	1	1	strains	...r, it was also found that Cupriavidus taiwanensis [[LMG 19430]], isolated from Mimosa diplotricha root nodules, w...;
LMG 19424T	strain designation	1	1	strains	...associated with the type strain of C. taiwanensis [[LMG 19424T]] (94.4% ANI and 54.6% dDDH), thus making strains M...
